word	nodeType	unit
intercurrent	ADJ	psyExcerptCopy
acute	ADJ	psyExcerptCopy
mental	ADJ	psyExcerptCopy
original	ADJ	psyExcerptCopy
intellectual	ADJ	psyExcerptCopy
moral	ADJ	psyExcerptCopy
own	ADJ	psyExcerptCopy
impossible	ADJ	psyExcerptCopy
child-	ADJ	psyExcerptCopy
abnormal	ADJ	psyExcerptCopy
violent	ADJ	psyExcerptCopy
lively	ADJ	psyExcerptCopy
irritable	ADJ	psyExcerptCopy
irascible	ADJ	psyExcerptCopy
selfish	ADJ	psyExcerptCopy
weak	ADJ	psyExcerptCopy
minded	ADJ	psyExcerptCopy
silly	ADJ	psyExcerptCopy
late	ADJ	psyExcerptCopy
pregnant	ADJ	psyExcerptCopy
responsible	ADJ	psyExcerptCopy
communistic	ADJ	psyExcerptCopy
rich	ADJ	psyExcerptCopy
poor	ADJ	psyExcerptCopy
well	ADJ	psyExcerptCopy
fifteenth	ADJ	psyExcerptCopy
female	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
natural	ADJ	psyExcerptCopy
natuiâ£	ADJ	psyExcerptCopy
powerful	ADJ	psyExcerptCopy
muscular	ADJ	psyExcerptCopy
numerous	ADJ	psyExcerptCopy
right	ADJ	psyExcerptCopy
moody	ADJ	psyExcerptCopy
defiant	ADJ	psyExcerptCopy
irritable	ADJ	psyExcerptCopy
social	ADJ	psyExcerptCopy
foreign	ADJ	psyExcerptCopy
imperfect	ADJ	psyExcerptCopy
frequent	ADJ	psyExcerptCopy
functional	ADJ	psyExcerptCopy
cerebral	ADJ	psyExcerptCopy
func-	ADJ	psyExcerptCopy
generative	ADJ	psyExcerptCopy
certain	ADJ	psyExcerptCopy
old	ADJ	psyExcerptCopy
weak	ADJ	psyExcerptCopy
strong	ADJ	psyExcerptCopy
complete	ADJ	psyExcerptCopy
indifferent	ADJ	psyExcerptCopy
genital	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
satisfying	ADJ	psyExcerptCopy
additional	ADJ	psyExcerptCopy
defective	ADJ	psyExcerptCopy
cerebral	ADJ	psyExcerptCopy
mild	ADJ	psyExcerptCopy
characteristic	ADJ	psyExcerptCopy
slight	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
corresponding	ADJ	psyExcerptCopy
psychical	ADJ	psyExcerptCopy
pleasurable	ADJ	psyExcerptCopy
such	ADJ	psyExcerptCopy
neuropathic	ADJ	psyExcerptCopy
same	ADJ	psyExcerptCopy
hysterical	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
various	ADJ	psyExcerptCopy
organic	ADJ	psyExcerptCopy
functional	ADJ	psyExcerptCopy
psychical	ADJ	psyExcerptCopy
somatic	ADJ	psyExcerptCopy
central	ADJ	psyExcerptCopy
peripheral	ADJ	psyExcerptCopy
temporary	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
logical	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
dependent	ADJ	psyExcerptCopy
individual	ADJ	psyExcerptCopy
great	ADJ	psyExcerptCopy
intense	ADJ	psyExcerptCopy
mental	ADJ	psyExcerptCopy
hard	ADJ	psyExcerptCopy
physi-	ADJ	psyExcerptCopy
cal	ADJ	psyExcerptCopy
emotional	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
constitutional	ADJ	psyExcerptCopy
condi-	ADJ	psyExcerptCopy
generative	ADJ	psyExcerptCopy
mature	ADJ	psyExcerptCopy
close	ADJ	psyExcerptCopy
generative	ADJ	psyExcerptCopy
determinate	ADJ	psyExcerptCopy
sensual	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
cerebral	ADJ	psyExcerptCopy
